gridref,region_code,allocated,nyrs,firstyear,lastyear
IJ3848,DOWN,Y,15,2009,2024
IJ3862,DOWN,Y,29,1994,2023
IJ3953,DOWN,N,17,1994,2014
IJ4065,DOWN,Y,8,2007,2022
IJ4140,DOWN,Y,13,2006,2018
IJ4261,DOWN,N,17,1999,2023
IJ4263,DOWN,Y,8,2003,2024
IJ4277,DOWN,Y,7,2006,2023
IJ4278,DOWN,Y,10,2007,2024
IJ4395,ANTR,Y,19,2006,2024
IJ4571,DOWN,Y,18,1994,2023
IJ4697,ANTR,Y,12,2012,2024
IJ4781,DOWN,Y,17,2007,2024
IJ4875,DOWN,Y,16,2007,2023
IJ5044,DOWN,Y,1,2024,2024
IJ5137,DOWN,Y,6,2004,2024
IJ5172,DOWN,Y,11,2006,2021
IJ5272,DOWN,Y,22,1996,2024
IJ5335,DOWN,N,13,2011,2023
IJ5444,DOWN,Y,5,2014,2018
IJ5446,DOWN,Y,6,2014,2024
IJ5649,DOWN,Y,25,1996,2023
IJ5876,DOWN,Y,9,2008,2020
IJ5945,DOWN,Y,5,2013,2022
IJ5967,DOWN,Y,8,2002,2024
IJ6052,DOWN,Y,15,1998,2020
IJ6072,DOWN,Y,5,2007,2023
IJ6153,DOWN,Y,10,2015,2024
IJ6166,DOWN,Y,8,2007,2024
IJ6353,DOWN,Y,10,2015,2024
IJ6455,DOWN,Y,14,1998,2012
IJ6462,DOWN,Y,9,2007,2024
NB0610,LEWH,Y,9,2007,2022
NB0822,LEWH,Y,4,2021,2024
NB0923,LEWH,Y,4,2021,2024
NB0924,LEWH,Y,10,1994,2024
NB1114,LEWH,Y,10,1995,2024
NB1602,LEWH,Y,12,1994,2024
NB1708,LEWH,Y,4,2018,2023
NB2021,LEWH,Y,18,2005,2024
NB2237,LEWH,Y,15,2005,2024
NB2537,LEWH,Y,13,2006,2022
NB2734,LEWH,Y,26,1994,2024
NB3111,LEWH,Y,7,1995,2022
NB3112,LEWH,Y,6,1995,2022
NB3851,LEWH,Y,18,2005,2024
NB4020,LEWH,N,11,1996,2022
NB4547,LEWH,N,4,2005,2022
NB4638,LEWH,Y,18,1994,2022
NB4848,LEWH,Y,12,1996,2024
NB5247,LEWH,Y,25,1994,2022
NC0013,ROSS,Y,20,1994,2021
NC0608,ROSS,Y,16,1994,2019
NC1730,SUTH,N,24,1994,2023
NC1918,SUTH,Y,15,1996,2024
NC2343,SUTH,Y,13,1994,2023
NC2423,SUTH,Y,30,1994,2024
NC3137,SUTH,N,15,1994,2023
NC3228,SUTH,N,1,2017,2017
NC3245,SUTH,Y,5,2007,2024
NC3366,SUTH,Y,4,2013,2022
NC3666,SUTH,Y,4,2013,2022
NC3866,SUTH,N,12,1994,2017
NC4855,SUTH,N,13,1994,2024
NC4923,SUTH,Y,11,1994,2024
NC4963,SUTH,N,13,1994,2024
NC5041,SUTH,Y,5,2013,2024
NC5109,SUTH,N,8,1994,2020
NC5321,SUTH,N,8,1994,2005
NC5551,SUTH,N,13,1994,2024
NC5709,SUTH,N,10,1994,2023
NC5909,SUTH,Y,11,1994,2024
NC6543,SUTH,Y,11,1994,2024
NC6713,SUTH,Y,17,1994,2024
NC6916,SUTH,N,10,1994,2017
NC6942,SUTH,Y,10,1994,2024
NC7006,SUTH,Y,17,1996,2024
NC8507,SUTH,Y,17,2007,2024
NC8761,SUTH,Y,13,1994,2023
NC8804,SUTH,Y,24,1996,2024
NC8825,SUTH,Y,12,1994,2024
NC9227,CAIT,N,5,1994,1998
NC9257,CAIT,Y,12,1994,2023
NC9531,CAIT,N,14,1994,2015
NC9549,CAIT,Y,17,1994,2023
NC9662,CAIT,N,7,1994,2007
NC9827,CAIT,Y,26,1994,2024
NC9953,CAIT,N,6,2006,2022
ND0159,CAIT,N,4,2007,2011
ND0326,CAIT,Y,21,1994,2024
ND0360,CAIT,Y,11,1994,2007
ND0854,CAIT,N,6,2006,2023
ND1024,CAIT,N,1,2007,2007
ND1763,CAIT,N,1,2006,2006
ND1859,CAIT,Y,15,2006,2024
ND1947,CAIT,N,6,1994,2004
ND2133,CAIT,N,3,2014,2016
ND2298,ORKN,N,20,1998,2021
ND2344,CAIT,Y,4,1994,1998
ND2599,ORKN,N,1,2018,2018
ND2753,CAIT,Y,10,2014,2024
ND2790,ORKN,N,16,1997,2023
ND3273,CAIT,Y,6,2006,2024
ND3665,CAIT,Y,18,1994,2024
ND4384,ORKN,Y,29,1994,2024
ND4898,ORKN,Y,24,1994,2024
NF6501,BENB,Y,4,2017,2021
NF6908,BENB,Y,3,2017,2019
NF7273,BENB,N,3,2005,2007
NF7841,BENB,Y,15,1994,2023
NF7852,BENB,Y,8,2003,2023
NF7871,BENB,Y,9,2006,2016
NF8027,BENB,N,12,1994,2021
NF8261,BENB,Y,8,2005,2024
NF8866,BENB,Y,14,1995,2024
NF9181,BENB,Y,10,2003,2013
NF9892,LEWH,Y,13,2005,2024
NG0584,LEWH,Y,6,2018,2024
NG0688,LEWH,Y,6,2018,2024
NG2353,SKYE,Y,16,2004,2024
NG2364,SKYE,N,3,2017,2019
NG2841,SKYE,Y,1,2017,2017
NG3444,SKYE,N,16,1996,2019
NG3533,SKYE,Y,15,1997,2024
NG3601,RHUM,N,2,2019,2021
NG3625,SKYE,Y,12,1995,2024
NG3700,RHUM,Y,24,1994,2019
NG3826,SKYE,Y,8,2016,2024
NG3932,SKYE,N,13,1996,2012
NG4025,SKYE,N,5,1996,2019
NG4100,RHUM,Y,20,2000,2019
NG4143,SKYE,Y,16,1996,2024
NG4257,SKYE,N,10,1996,2017
NG4473,SKYE,N,1,2017,2017
NG4539,SKYE,Y,3,2017,2019
NG4617,SKYE,N,5,2011,2022
NG4618,SKYE,Y,6,2011,2023
NG4730,SKYE,N,9,1997,2017
NG4745,SKYE,Y,5,2017,2023
NG5628,SKYE,N,6,2017,2023
NG6209,SKYE,Y,3,2021,2023
NG6223,SKYE,Y,17,1995,2017
NG6328,SKYE,N,4,2017,2022
NG7323,SKYE,Y,3,2018,2021
NG7522,SKYE,Y,4,2016,2024
NG7523,SKYE,Y,9,1996,2024
NG7651,ROSS,Y,10,1994,2024
NG7666,ROSS,Y,7,1994,2021
NG7892,ROSS,Y,22,1994,2016
NG7933,ROSS,N,3,2007,2009
NG8438,ROSS,Y,12,2007,2024
NG8874,ROSS,Y,19,1995,2024
NG9076,ROSS,Y,6,2017,2023
NG9142,ROSS,Y,11,1994,2023
NG9302,INVW,Y,18,2005,2024
NG9403,INVW,Y,11,2012,2024
NG9788,ROSS,Y,16,1994,2024
NG9963,ROSS,Y,11,1994,2023
NH0488,ROSS,N,11,1994,2022
NH0525,ROSS,Y,3,2021,2024
NH0526,ROSS,Y,4,2019,2024
NH0740,ROSS,N,2,2021,2022
NH0840,ROSS,Y,4,2018,2024
NH0860,ROSS,N,10,1994,2023
NH1086,ROSS,N,6,2007,2021
NH1117,INVE,N,4,2019,2023
NH1308,INVW,N,8,1994,2021
NH1591,ROSS,Y,31,1994,2024
NH1695,ROSS,Y,31,1994,2024
NH1814,INVE,N,10,1994,2024
NH1873,ROSS,Y,5,2008,2024
NH2339,INVE,Y,11,2003,2024
NH2590,ROSS,N,11,1997,2019
NH2682,ROSS,Y,7,1997,2024
NH2887,ROSS,N,6,1997,2019
NH3000,INVE,N,6,2013,2019
NH3219,INVE,Y,7,2011,2023
NH3220,INVE,Y,16,1994,2023
NH3313,INVE,Y,9,2015,2024
NH3423,INVE,N,17,1995,2018
NH3586,ROSS,Y,8,1997,2024
NH3845,INVE,Y,5,2007,2021
NH4119,INVE,Y,5,2018,2024
NH4134,INVE,N,1,2021,2021
NH4206,INVE,Y,4,2021,2024
NH4207,INVE,Y,6,2018,2024
NH4319,INVE,Y,7,2011,2023
NH4320,INVE,Y,10,2007,2023
NH4457,ROSS,Y,12,2007,2023
NH4570,ROSS,Y,6,2007,2024
NH4648,INVE,Y,7,2006,2024
NH4698,ROSS,Y,13,2007,2023
NH4753,ROSS,Y,24,1997,2024
NH4837,INVE,Y,10,1995,2024
NH4843,INVE,N,7,2006,2012
NH4947,INVE,Y,8,2011,2024
NH4955,ROSS,Y,14,2007,2023
NH5060,ROSS,N,9,2005,2016
NH5284,ROSS,Y,19,1997,2024
NH5363,ROSS,N,17,1994,2021
NH5408,INVE,N,25,1995,2020
NH5445,INVE,Y,26,1996,2024
NH5450,ROSS,Y,18,1999,2024
NH5492,ROSS,Y,27,1994,2023
NH5558,ROSS,Y,3,2022,2024
NH5725,INVE,N,24,1995,2019
NH5766,ROSS,Y,18,2005,2024
NH5853,ROSS,Y,14,2005,2024
NH5963,ROSS,Y,12,2006,2021
NH6017,INVE,Y,5,2019,2024
NH6025,INVE,N,10,2007,2018
NH6057,ROSS,Y,28,1997,2024
NH6172,ROSS,Y,7,2017,2024
NH6175,ROSS,Y,3,2022,2024
NH6266,ROSS,N,13,2006,2023
NH6375,ROSS,Y,18,1997,2023
NH6376,ROSS,Y,16,2007,2024
NH6428,INVE,Y,6,2013,2024
NH6459,ROSS,Y,17,2005,2024
NH6559,ROSS,N,19,1994,2015
NH6610,INVE,Y,5,2018,2024
NH6682,ROSS,Y,30,1994,2024
NH6853,ROSS,Y,28,1996,2023
NH6932,INVE,N,21,1994,2021
NH6943,INVE,N,1,2013,2013
NH7265,ROSS,Y,26,1995,2024
